-13 2.5 -50 
-13 4.48904 -49.7909 
-10 4.48904 -49.7909 
-10 2.5 -50 
-13 2.5 -50 
-13 3.31347 -48.1729 
-10 3.31347 -48.1729 
-10 2.5 -50 
-13 2.5 -50 
-13 1.32443 -48.382 
-10 1.32443 -48.382 
-10 2.5 -50 
-13 2.5 -50 
-13 0.510956 -50.2091 
-10 0.510956 -50.2091 
-10 2.5 -50 
-13 2.5 -50 
-13 1.68653 -51.8271 
-10 1.68653 -51.8271 
-10 2.5 -50 
-13 2.5 -50 
-13 3.67557 -51.618 
-10 3.67557 -51.618 
-10 2.5 -50 
-13 2.5 -50 
-13 4.48904 -49.7909 
-10 4.48904 -49.7909 
-10 2.5 -50 
-10 2.5 -50 
