-110 -90 0
-80 -90 5
-50   -90 0
-20  -90 5
10  -90 0
40  -90 5
70  -90 0
100 -90 5

-110 -70 0
-80 -70 5
-50   -70 0
-20  -70 5
10  -70 0
40  -70 5
70  -70 0
100 -70 5

-110 -50 0
-80 -50 5
-50   -50 0
-20  -50 5
10  -50 0
40  -50 5
70  -50 0
100 -50 5

-110 -30 0
-80 -30 5
-50   -30 0
-20  -30 5
10  -30 0
40  -30 5
70  -30 0
100 -30 5

-110 -10 0
-80 -10 5
-50   -10 0
-20  -10 5
10  -10 0
40  -10 5
70  -10 0
100 -10 5

-110  10 0
-80  10 5
-50   10 0
-20   10 5
10   10 0
40   10 5
70   10 0
100  10 5

-110  30 0
-80  30 5
-50    30 0
-20   30 5
10   30 0
40   30 5
70   30 0
100  30 5

-110  50 0
-80  50 5
-50    50 0
-20   50 5
10   50 0
40   50 5
70   50 0
100  50 5

-110  70 0
-80  70 5
-50    70 0
-20   70 5
10   70 0
40   70 5
70   70 0
100  70 5

-110  90 0
-80  90 5
-50    90 0
-20   90 5
10   90 0
40   90 5
70   90 0
100  90 5
