-110 -90 -80
-80 -90 -80
-50   -90 -80
-20  -90 -80
10  -90 -80
40  -90 -80
70  -90 -80
100 -90 -80

-110 -70 -80
-80 -70 -80
-50   -70 -80
-20  -70 -80
10  -70 -80
40  -70 -80
70  -70 -80
100 -70 -80

-110 -50 -80
-80 -50 -80
-50   -50 -80
-20  -50 -80
10  -50 -80
40  -50 -80
70  -50 -80
100 -50 -80

-110 -30 -80
-80 -30 -80
-50   -30 -80
-20  -30 -80
10  -30 -80
40  -30 -80
70  -30 -80
100 -30 -80

-110 -10 -80
-80 -10 -80
-50   -10 -80
-20  -10 -80
10  -10 -80
40  -10 -80
70  -10 -80
100 -10 -80

-110  10 -80
-80  10 -80
-50   10 -80
-20   10 -80
10   10 -80
40   10 -80
70   10 -80
100  10 -80

-110  30 -80
-80  30 -80
-50    30 -80
-20   30 -80
10   30 -80
40   30 -80
70   30 -80
100  30 -80

-110  50 -80
-80  50 -80
-50    50 -80
-20   50 -80
10   50 -80
40   50 -80
70   50 -80
100  50 -80

-110  70 -80
-80  70 -80
-50    70 -80
-20   70 -80
10   70 -80
40   70 -80
70   70 -80
100  70 -80

-110  90 -80
-80  90 -80
-50    90 -80
-20   90 -80
10   90 -80
40   90 -80
70   90 -80
100  90 -80
